open,close,low,high,vol,time
9154.0,9156.0,9154.0,9156.0,0.0,2020-07-01 04:19:00
9156.0,9157.0,9156.0,9160.0,5407.26485,2020-07-01 04:20:00
9157.0,9156.0,9155.5,9157.0,0.0,2020-07-01 04:21:00
9156.0,9155.0,9154.5,9156.0,0.0,2020-07-01 04:22:00
9155.0,9155.0,9155.0,9155.5,0.0,2020-07-01 04:23:00
9155.0,9157.0,9155.0,9157.5,14529.778,2020-07-01 04:24:00
9157.0,9156.0,9156.0,9157.0,130.0223,2020-07-01 04:25:00
9156.0,9153.5,9153.5,9156.0,0.0,2020-07-01 04:26:00
9153.5,9152.5,9152.5,9155.0,0.0,2020-07-01 04:27:00
9152.5,9152.5,9152.5,9152.5,0.0,2020-07-01 04:28:00
9152.5,9155.0,9152.5,9155.0,0.0,2020-07-01 04:29:00
9155.0,9154.5,9154.5,9155.0,2327.0739,2020-07-01 04:30:00
9154.5,9154.5,9154.5,9154.5,0.0,2020-07-01 04:31:00
9154.5,9154.5,9154.5,9154.5,0.0,2020-07-01 04:32:00
9154.5,9154.5,9154.5,9154.5,0.0,2020-07-01 04:33:00
9154.5,9156.0,9154.5,9158.0,2288.75,2020-07-01 04:34:00
9156.0,9155.0,9155.0,9156.0,0.0,2020-07-01 04:35:00
9155.0,9158.0,9155.0,9158.5,602.6293,2020-07-01 04:36:00
9158.0,9158.0,9158.0,9158.0,0.0,2020-07-01 04:37:00
9158.0,9158.0,9158.0,9158.5,0.0,2020-07-01 04:38:00
9158.0,9156.5,9154.0,9158.5,28847.7,2020-07-01 04:39:00
9156.5,9157.5,9156.5,9157.5,4671.24075,2020-07-01 04:40:00
9157.5,9148.5,9148.5,9157.5,183.01,2020-07-01 04:41:00
9148.5,9148.0,9145.0,9148.5,31130.84785,2020-07-01 04:42:00
9148.0,9146.0,9145.5,9148.0,0.0,2020-07-01 04:43:00
9146.0,9142.5,9137.5,9146.0,7097.5622,2020-07-01 04:44:00
9142.5,9139.0,9139.0,9142.5,0.0,2020-07-01 04:45:00
9139.0,9141.5,9139.0,9141.5,2064.1507,2020-07-01 04:46:00
9141.5,9141.5,9141.5,9141.5,128.89515,2020-07-01 04:47:00
9141.5,9146.5,9141.5,9147.0,0.0,2020-07-01 04:48:00
9146.5,9145.5,9145.0,9147.0,0.0,2020-07-01 04:49:00
9145.5,9146.0,9144.0,9147.0,0.0,2020-07-01 04:50:00
9146.0,9147.0,9144.0,9147.5,0.0,2020-07-01 04:51:00
9147.0,9146.5,9144.0,9147.0,0.0,2020-07-01 04:52:00
